artist,song,duration (seconds),loudness,beats-per-minute,end-of-fade-in (sec),start_of_fade_out (sec),familiarity,buzz,terms
The Shamen,Heal (The Separation) [H.E.L.P Breakbeat],247.53587,-8.069,110.04,0.398,235.294,0.605880471,0.393660868,tech house
Jackie Edwards,Worrying Over You,206.05342,-13.686,150.302,0.189,198.507,0.50373879,0.359290849,rock steady
The Moody Blues,Long Summer Days,194.97751,-9.769,91.453,3.268,185.94,0.63589871,0.530262813,british invasion
Frankie Randall,Winter Wonderland,215.77098,-18.86,100,0.356,203.343,0.248503726,0,easy listening
Arturo Sandoval,Luna de miel en Guama,238.28853,-11.4,138.732,2.165,228.258,0.561464646,0.423527585,latin jazz
Tommy Overstreet,Heart Of Dixie,185.73016,-13.569,129.714,0.161,176.884,0.441586733,0.27951548,country rock
Coven,Coven In Charing Cross,244.50567,-13.311,87.136,0.205,233.314,0.570418511,0.372378538,country rock
Kzss & Atma,Obsidian Sunrise,335.09832,-3.352,145.478,2.101,327.924,0.410588607,0,jungle music
Professor Longhair,Junco Partner,208.45669,-14.445,96.874,0.514,204.614,0.611771113,0.402054897,louisiana blues
Stelios Dionisiou,To Sinnefo,233.92608,-7.306,99.955,0.223,227.927,0.294566263,0,greek
J.C. Lodge,You Are The One,319.39873,-12.471,84.998,0.375,310.033,0.449060609,0.176766901,lovers rock
Hubert Kah,Raketen,249.83465,-6.917,110.013,5.683,241.122,0.506852549,0.400879399,europop
Snow Patrol,Shut Your Eyes,209.162,-7.078,125.057,2.763,198.583,0.818319359,0.667294596,indie rock
M,Close To Me,238.41914,-7.404,123.81,0.183,229.198,0.589512634,0.38490225,hard trance
Piero Umiliani,Apertura in jazz,234.57914,-14.206,42.106,0.223,220.77,0.588811881,0.382545795,jazz funk
Tabu Ley Rochereau,Maputo,456.61995,-12.338,136.248,0,446.514,0.439080215,0.332324178,soukous
Dead Prez,Be Healthy,154.30485,-8.328,94.905,0.385,154.305,0.676492513,0.4695139,hip hop
Sergio Mendes / Black Eyed Peas,Mas Que Nada,267.20608,-6.069,101.059,0.874,258.264,0.649095051,0.417601488,samba
Janice Vidal,Water-Liked,226.7424,-10.623,116.043,0.201,215.075,0.449048445,0.429601593,cantonese pop
El Gran Silencio,Alma de B-Boy,208.66567,-7.705,120.064,0.171,193.567,0.639883304,0.375494484,cumbia
Black Flag,Jealous Again,136.14975,-6.419,124.481,0,127.954,0.731208047,0.547506775,hardcore punk
Les Bantous De La Capitale,A Mon Avis,431.93424,-6.451,134.046,0,419.178,0.427987492,0.273365751,congo
Sivuca,Energia,238.00118,-10.623,224.247,0.386,228.542,0.479620747,0.324334205,brazilian jazz
Luis Alberto Spinetta,Verde Bosque,355.29098,-16.136,105.025,0.422,346.993,0.57763315,0.439843854,rock 'n roll
Moss,There Alone Go I,274.12853,-14.157,107.412,0.235,256.546,0.602555589,0.389535576,future jazz
Blind Boy Fuller,Put You Back In The Jail,160.28689,-16.063,180.137,0.436,157.867,0.541231189,0.360170271,country blues
Paula Santoro,The Girl From Ipanema (Garota De Ipanema),192.41751,-17.307,129.591,0.26,174.126,0.370215709,0.289970667,brazilian pop music
Sunscreem,Secrets,241.89342,-8.085,172.172,0.399,227.08,0.546727554,0.386180416,progressive house
Louis Prima And Keely Smith,Autumn Leaves (1999 Digital Remaster),171.4673,-14.736,84.496,0.404,165.796,0.578998679,0.390828596,space age pop
Robert Lockwood_ Jr.,She's Little And She's Low,340.87138,-14.188,164.387,0.369,330.35,0.497942106,0.341073301,delta blues
Muse,Stockholm Syndrome,296.95955,-4.854,128.134,0,287.672,0.929030287,0.750426551,art rock
Jeremy Spencer,Maria De Santiago,235.04934,-8.748,126.191,0.154,222.023,0.520933079,0.206020372,blues-rock
Bob Margolin,No Consolation,182.83057,-14.755,74.601,0.247,171.712,0.555985053,0.326848818,blues-rock
The Gone Jackals,Faith Healer (Digital Single),248.18893,-6.427,123.633,0.293,242.55,0.44104996,0.353000688,blues-rock
The Velvet Underground,I Heard Her Call My Name,276.68853,-14.002,144.562,0.304,270.414,0.750621598,0.498497973,experimental rock
Kingston Trio,Scotch and Soda,127.16363,-21.177,80.167,0,122.863,0.580910693,0.295117194,folk-pop
D' Militante,T.V. & Movies,420.49261,-15.655,240.314,0,420.493,0.316517395,0.298271606,stand-up comedy
Michelle & Vickie,Ying Guang Hu Die,279.19628,-8.78,94.276,0.224,272.579,0.368404327,0.261816098,chinese music
Pamelo Mounk'a,On ne meurt qu'une fois,528.40444,-13.89,112.752,0.125,519.866,0.328678546,0.255011258,congo
Los Fernandos,All My Loving,187.95057,-11.516,103.432,0.274,184.227,0.188667695,0,hip house
Kool Savas,Therapie,64.62649,-3.985,90.148,0,64.626,0.603382768,0.449423635,garage rock
Rainie Yang,Nu Sheng Wo Zui Da (OT:That Thrill),220.15955,-7.717,160.027,0.554,214.616,0.486921796,0.370095929,chinese music
Little Eva,The Loco-Motion,145.162,-6.643,129.781,0.148,136.319,0.590131052,0.384549528,pop rock
Simple Minds,Chelsea Girl (Live),308.45342,-9.503,103.637,0.108,303.554,0.700679842,0.503362448,new wave
The Killers,Show You How,166.29506,-6.467,82.909,0.142,161.472,0.918451789,0.828906302,rock
New Order,Jetstream - Arthur Baker Remix,421.95546,-5.721,122.484,0,414.766,0.720711058,0.522047955,alternative dance
Damone,Child Of The Night,217.20771,-4.272,154.093,0.305,208.887,0.581082685,0.390023847,chill-out
Furry Lewis,Old Hobo,234.78812,-8.032,146.569,0.328,234.788,0.572500601,0.368054039,country blues
Chris Farlowe,I Just Need Your Lovin' - Original,192.26077,-13.626,160.663,0,183.205,0.543393231,0.338575027,blue-eyed soul
Joe Turner,Here Comes Your Iceman (LP Version),233.92608,-13.984,88.109,0.502,231.828,0.473624124,0.364586575,jump blues
Porcupine Tree,Moon Loop (Improvisation),978.442,-11.524,134.075,0,966.954,0.830252262,0.507965802,experimental rock
DeGarmo & Key,He Has Risen (Communication Album Version),171.75465,-11.528,82.604,0.368,165.309,0.421132725,0.318834232,ccm
Frank Chacksfield,Heidi,151.19628,-16.538,116.716,0.296,148.248,0.446256667,0.346357522,orchestra
David Bowie,Space Oddity (1997 Digital Remaster),313.70404,-12.679,137.068,15.018,299.619,0.865970006,0.574921423,dance rock
Bone Thugs-N-Harmony,Fearless [Interlude] (Explicit Album Version),34.42893,-12.088,86.056,0.177,34.429,0.81592342,0.555138322,gangster rap
Klaus Badelt,After The Fire,116.1922,-27.369,56.306,0.107,102.777,0.688003349,0.469340374,chill-out
Charlotte Gainsbourg,Tel Que Tu Es,189.70077,-12.1,119.683,0,177.046,0.744007915,0.520049688,pop
Aerosmith,Lord Of The Thighs,425.03791,-10.943,108.662,0,409.681,0.872536599,0.610731463,blues-rock
Agnes,Non Conformist Acclaimed,371.06893,-11.338,122.965,0.149,348.421,0.737540403,0.441355562,europop
The Party Group,El Ventilador,190.04036,-21.761,122.91,1.083,183.606,0.188667695,0,hip house
Enter the Haggis,Skyswimmer,399.882,-10.648,85.399,3.663,394.043,0.619747147,0.40738683,celtic rock
Mac McAnally,If You Hang Around Long Enough,183.53587,-6.601,174.268,0.296,175.984,0.573039791,0.437866012,singer-songwriter
T.O.K.,Hotta,190.71955,-5.977,126.682,0,187.431,0.692655873,0.434346306,dancehall
Leo Gandelman,Bari Bossa,222.98077,-13.812,157.95,0.188,206.292,0.398366354,0.390434973,brazilian jazz
Leon Russell,Jambalaya (On The Bayou),169.35138,-14.073,99.435,0,163.828,0.634226963,0.443708895,blues-rock
Bill Laswell,The Gary Selchie - Solas,132.67546,-19.814,105.218,0,128.151,0.678008837,0.404039734,future jazz
Francis Lai,La valse du mariage,123.24526,-9.853,88.967,0.203,119.176,0.552719818,0.371711094,space age pop
Herbst9_ Z'ev,Awakening of the Soulless,245.02812,-14.775,91.695,2.769,232.815,0.480355425,0.353256679,dark ambient
Del Tha Funkee Homosapien,Mistadobalina,257.69751,-9.495,99.566,0.305,244.849,0.732660312,0.458439468,hip hop
Rihanna,Good Girl Gone Bad,208.16934,-5.704,128.077,3.634,197.764,0.917698884,0.908202619,dance pop
Britney Spears feat. Pharrell Williams,Boys,225.48853,-4.947,106.919,0.345,221.931,0.153605548,0.60725728,dance pop
Britney Spears,Everytime,206.81098,-3.738,85.331,2.926,194.769,0.947327507,0.631289508,dance pop
Crazy Horse,Dance_ Dance_ Dance  (Album Version),133.3024,-13.771,152.729,0.084,125.028,0.540279892,0.342192311,country rock
Headhunter,Signs Of Insanity,277.81179,-5.431,133.005,0.09,277.812,0.60773432,0.448452837,dubstep
Sam Butera & The Witnesses,Perdido (1999 Digital Remaster),148.06159,-13.778,178.716,0,144.701,0.329947707,0.336327032,easy listening
Rise Against,State Of The Union,139.17995,-3.619,132.045,0.351,131.326,0.821718693,0.69616111,hardcore punk
Lee Ritenour / Jeff Mironov,A Little Bit Of This And A Little Bit Of That,307.04281,-17.337,157.582,0.302,294.371,0.632008013,0.144684661,instrumental pop
Helmet,Your Head,200.75057,-11.448,202.829,0.519,191.025,0.776598968,0.490079584,rapcore
Dine et DA(c)on,GA(c)raldine,113.57995,-6.828,110.5,0.217,106.597,0.430155895,0.17819882,french pop
Martin Denny,Burma Train Change,175.75138,-17.114,85.765,0.154,166.574,0.573719855,0.377382917,exotica
DJ Nasty,Buy You A Drink,236.56444,-4.68,106.659,0,226.743,0.582365879,0.30285542,bass music
Santana,With A Little Help From My Friends,246.7522,-6.873,79.428,0.131,243.136,0.818494214,0.627765135,blues-rock
Ray Sandoval,A La Naturaleza,377.70404,-16.427,124.186,0.27,364.733,0.294677922,0,flamenco
Amalia Avgoustaki,Dimitroula,182.17751,-5.065,120.103,0.276,179.154,0.027617877,0,greek
Shaman,For Tomorrow (live),404.06159,-4.462,120.25,0,404.062,0.617787589,0.416644114,progressive trance
K-OS,Clap Ur Handz,80.53506,-6.855,104.783,0,75.9,0.712662163,0.430697046,trip hop
Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),541.23057,-15.586,109.051,0.827,537.24,0.484485558,0.373952779,brutal death metal
Elva Hsiao,Gotta Let It Go,241.52771,-6.01,121.968,0.386,229.204,0.48221287,0.374531255,j pop
Chris Farlowe,Paint It Black,177.57995,-11.027,146.913,0.346,175.078,0.543393231,0.338575027,blue-eyed soul
Avril,The Matter With You (Part I_ Ii_ Iii),651.59791,-10.718,86.589,0.131,606.064,0.897178039,0.438234414,trip hop
Sticky Fingaz & Omar Epps,Don't Owe Me Nothin',142.86322,-9.532,87.897,0,137.033,0.542512528,0.403784235,hip hop
Delbert McClinton,Lose Your Money,114.31138,-10.261,221.858,0.142,107.735,0.699924765,0.449668691,blues-rock
Gloria De Haven,Diamonds Are A Girl's Best Friend,110.88934,-14.088,100.296,0.136,105.599,0.305466193,0.035307947,easy listening
Rhian Benson,Say How I Feel,207.46404,-4.573,117.973,0.345,198.374,0.491835959,0.389414014,broken beat
The Impressions,This Is My Country,168.01914,-11.803,103.088,0.079,158.174,0.633220624,0.410247408,chicago soul
Bessie Smith,Cold In Hands Blues,192.44363,-27.858,79.912,2.537,189.272,0.63752105,0.404798068,chicago blues
MC5,Miss X (LP Version),307.722,-8.392,75.706,0.13,298.969,0.654860822,0.45146606,garage rock
Tommy Torres,Imparable,222.92853,-7.123,158.007,0,210.611,0.638590617,0.416019234,reggaeton
Les Malpolis,Les Amours de Nathalie,246.69995,-9.76,172.061,0.229,240.878,0.488206851,0.271250596,chanson
Washboard Sam,Bucket's Got A Hole In It,166.19057,-15.571,158.455,2.014,160.148,0.505784763,0.326750334,delta blues
Shirley Caesar,Angels We Have Heard On High (Album Version),176.37832,-8.686,119.711,0.421,169.32,0.579309488,0.370273519,symphony
Tammy Wynette,Welcome To My World (Live),84.16608,-11.433,155.05,0,84.166,0.606118646,0.409196036,honky tonk
Fun Lovin' Criminals,We Have All The Time In The World (Live),235.36281,-12.767,91.859,0.456,229.396,0.68320604,0.484876719,blues-rock
Los Chunguitos,Por La Calle Abajo,164.12689,-8.07,158.479,0,156.462,0.515033584,0.372356588,flamenco
CA(c)line Dion,Un Garcon Pas Comme Les Autres (Ziggy),179.01669,-14.403,80.999,3.442,173.819,0.737437395,0.663686476,soft rock
OutKast,Happy Valentine's Day,323.10812,-4.018,100.026,0,312.123,0.796419553,0.574497026,dirty south rap
Andy Griffith,Just A Closer Walk With Thee,179.93098,-16.334,100.018,3.094,173.105,0.516873683,0.310600344,comedy
Joe Lynn Turner,Second Hand Life,274.12853,-5.912,106.896,0.258,255.849,0.620041695,0.364975595,hard rock
Warrant,Cherry Pie,201.03791,-4.65,177.152,7.297,198.177,0.696450939,0.489149817,hard rock
IYOV,Hipster Haircut,120.16281,-3.909,194.53,0,120.163,0.338943092,0.235816028,digital hardcore
Otis Taylor,Round and Round,107.83302,-6.028,217.289,0.833,102.464,0.590792957,0.394884438,country blues
Laron aka Swan featuring Alexander East,Up All Night - Remix,544.522,-10.971,84.64,0.096,525.81,0.404369411,0,ghetto tech
Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon AC/me a reconnu votre AC/me(Werther/Charlotte),55.40526,-23.73,109.158,0,55.405,0.477387134,0.363610865,opera
Righteous Brothers,See That Girl,190.14485,-10.288,72.656,0.21,180.773,0.68508049,0.460703675,blue-eyed soul
The Clancy Brothers,Water Is Alright In Tay,113.78893,-13.289,105.852,2.276,109.552,0.562597242,0.408955833,irish folk
Five Fingers of Funk,Genuine,1400.37179,-8.792,0,0.146,1389.25,0.383073612,0,funk metal
Michael Whalen,A New Heart,317.70077,-15.968,110.1,8.963,313.481,0.45660506,0.360744984,meditation
Randy Travis,Wind In The Wire (Album Version),211.40853,-14.172,95.655,0.218,200.046,0.787877691,0.543225521,country gospel
Tonic,Where Do I Fit,184.68526,-4.768,156.028,0.67,176.791,0.701521706,0.524318921,post-grunge
The Grip Weeds,Changed,314.14812,-5.853,130.459,0,304.21,0.529794862,0.328236584,glam rock
Andy & Lucas,Amores Cobardes,234.63138,-5.343,147.886,0.212,222.952,0.53813774,0.400387757,flamenco
MA3veis Coloniais de Acaju,Perca peso,320.05179,-5.647,173.652,0,316.668,0.624274356,0.418741085,samba
John D. Loudermilk,Brown Girl,252.682,-12.239,112.781,2.328,246.236,0.414244229,0.287370035,blues-rock
Glen Campbell And Bobbie Gentry,Mornin' Glory,183.11791,-13.881,101.577,0.125,176.448,0.582460567,0.38479891,country blues
Pablo Montero,La Copa Grande,189.57016,-8.888,98.063,0.16,184.442,0.546310424,0.30991934,ranchera
Jay PA(c)rez,Ojitos Dormilones,204.66893,-7.787,189.758,0.252,198.687,0.55010385,0.386237683,tejano
Kenny Rogers,The Son Of Hickory Holler's Tramp,188.96934,-12.193,174.785,0,171.508,0.735370102,0.61999595,country rock
Dave Hollister,Bad When U Broke,209.55383,-8.43,166.026,0,189.359,0.612543004,0.459660463,motown
Arturo Sandoval,My Funny Valentine,266.60526,-14.818,61.018,4.795,258.67,0.561464646,0.423527585,latin jazz
Wednesday 13's Frankenstein Drag Queens From Planet 13,Hit And Rape (Album Version),131.81342,-3.525,93.021,0.131,127.536,0.565161778,0.371447106,horror punk
Dub Pistols feat. Lindy Layton & Rodney P,I'm In Love,333.21751,-6.883,130.016,0,323.913,0.687619666,0.417068913,big beat
Darwin's Waiting Room,Feel So Stupid (Table 9),197.51138,-5.173,101.923,0.469,197.511,0.508421718,0.33581192,nu metal
AndrA(c) Minvielle,Les Chaudrons,295.96689,-7.632,125.47,0,286.691,0.491123993,0.42027433,jazz
A.Z.,We Can't Win (Explicit),203.10159,-12.042,88.064,0.189,193.585,0.640695921,0.449602656,gangster rap
Herbert Von Karajan,"Die Fledermaus - Operette in drei Akten/Silvester-Einlagen/Dein ist mein ganzes Herz (aus ""Das Land des LA$?chelns"")",238.10567,-20.18,103.929,0,238.106,0.668055687,0.464152439,opera
Hassan Annouri feat. Cassandra Steen,Wahrheit,270.73261,-5.106,150.063,0.102,268.132,0.077176867,0.357784312,hip hop
Gaiteros de Pillopo,El Barbero,251.08853,-8.173,179.665,0.374,245.359,0.307211096,0.138639717,gaita
Paul Taylor / Terry Dexter,Long Distance Relationship,270.21016,-7.284,135.87,0.142,251.542,0.664690939,0.429261029,smooth jazz
Lee Ritenour,Captain Fingers,444.81261,-8.424,128.972,6.194,433.824,0.632008013,0.144684661,instrumental pop
Andreas Dorau,So ist das nun mal,395.17995,-8.586,124.988,0.137,388.714,0.501785968,0.382426584,tech house
Bukue One,Ready Now,239.38567,-11.601,188.947,0.618,233.488,0.388494748,0.257649711,jungle music
Hiram Bullock,Voodoo Chile,502.69995,-8.016,129.245,0.282,492.472,0.541888715,0.311983595,jazz funk
Serpentine,Rainbow Ride,285.70077,-8.712,122.004,0.113,285.701,0.577773337,0.298448311,new romantic
Crazy Horse,Scratchy (Takes 1-3 / bonus track),732.39465,-11.252,119.649,0.356,722.808,0.540279892,0.342192311,country rock
Baroness,Grad,354.79465,-9.213,98.763,13.903,345.536,0.739099282,0.471126715,sludge metal
Slim Whitman,As You Take A  Walk Through My Mind,192.73098,-17.222,110.595,0.415,185.806,0.51644378,0.386669092,folk-pop
Thomas Dolby,One Of Our Submarines,309.57669,-8.907,130.017,3.065,296.118,0.641354081,0.384230563,pop rock
Justin,WA-KA-BAM!! (INTRO),22.33424,-12.43,41.985,0.456,22.334,0.782555689,0.335368578,future jazz
Barbara Lusch,Now_ Baby_ or Never,259.73506,-6.605,92.215,0.078,252.5,0.366302895,0,jazz
RaphaA<<l,Le Petit Train (MixA(c) Par Mark Plati),211.01669,-6.301,150.096,0,195.837,0.55746022,0.386151631,chanson
Ini Kamoze,Goodness & Mercy,236.56444,-9.881,165.111,0.421,236.564,0.621825362,0.434930158,dancehall
Sugar Minott,Walking Dub,192.15628,-9.256,161.721,0,186.59,0.606975737,0.386289651,roots reggae
Martha Wainwright,Comin' Tonight,209.60608,-13.551,117.316,0.082,197.364,0.704244766,0.497568734,folk-pop
Stevie Ray Vaughan And Double Trouble,Chitlins Con Carne,235.65016,-13.277,111.834,0.129,229.239,0.73379894,0.544257506,texas blues
Mance Lipscomb,Motherless Children (Remastered Version) (Take 2),180.03546,-19.24,153.765,0.2,174.829,0.450852685,0.33238987,texas blues
Randy Travis,On The Other Hand (Remastered Album Version),187.53261,-12.324,95.781,0.255,177.673,0.787877691,0.543225521,country gospel
Los Chichos,El Te Daba Mala Vida,221.23057,-9.013,133.324,0,208.225,0.561589946,0.420570307,flamenco
La Portuaria,Palabras De Amor(En Vivo),169.482,-7.548,182.922,2.038,154.726,0.522888132,0.30571906,disco
Boondox,Nothing To Lose,260.10077,-5.852,200.004,0,260.101,0.780866546,0.460456543,rap rock
Maurane,Juste Une Petite Fille,263.67955,-15.406,89.394,0.67,257.109,0.580481348,0.412610819,chanson
Michael Bloomfield,Let the People Dance,180.45342,-8.287,78.213,0,174.005,0.49399508,0.372179878,blues-rock
Beatnuts featuring dead prez and Cheryl Pepsi Riley,Look Around featuring dead prez and Cheryl Pepsi Riley,318.56281,-5.414,93.957,0,315.82,0.608018106,0.285523231,grime
Aerosmith,Angel,335.33342,-5.763,76.096,0,335.333,0.872536599,0.610731463,blues-rock
Rene Touzet,Mi Son Maracaibo,288.33914,-12.565,112.067,0.368,283.202,0.330139597,0.249127455,exotica
Bill Laswell,Don't Lose Control,258.87302,-14.647,99.587,0,246.671,0.678008837,0.404039734,future jazz
Jazz Gillum,Little Woman,183.09179,-14.663,101.713,0.415,176.982,0.362800142,0.282286406,chicago blues
Sonny Terry & Brownie McGhee,My Bulldog Blues,167.02649,-19.569,117.625,0.234,160.961,0.517126315,0.360145057,piedmont blues
Michael McDonald,Love Can Break Your Heart (LP Version),296.202,-10.015,109.731,0.181,278.808,0.712675251,0.563362694,ballad
Free,Broad Daylight - The BBC Sessions [Top Gear 17/3/69],197.56363,-12.473,114.168,0.206,193.242,0.71368625,0.468604581,blues-rock
Leo Ku,Shi Shang Zui Qiang Man Hua Wang Da Luan Dou,185.0771,-8.006,115.449,0.258,177.929,0.483278657,0.360628716,cantonese pop
Frankie Randall,Rudolph The Red Nosed Reindeer,200.75057,-14.179,134.857,0.369,195.239,0.248503726,0.243085349,easy listening
The Pineapple Thief,Snowdrops,356.54485,-10.06,129.277,0.166,348.775,0.587466437,0.485198263,neo-progressive
Buddy Jewell,Sweet Southern Comfort,212.89751,-6.986,147.928,0.305,200.133,0.597220853,0.41160858,bluegrass
Flor Silvestre,Luna De Octubre,157.46567,-12.972,84.273,0,154.297,0.42054585,0.313569343,ranchera
Capleton,Say Yeah,233.63873,-5.404,127.876,0,224.67,0.662250484,0.410053623,dancehall
Demonbreed,Hell Will Reign,337.24036,-4.786,94.069,0,321.01,0.484546205,0,thrash core
Joe Heaney,The Ferocious O' Flahertys,52.76689,-26.343,224.471,0.159,46.957,0.401327986,0.288578616,irish folk
Cerati-Melero,Marea De Venus,262.37342,-11.291,129.047,2.188,262.373,0.694983409,0.429780286,electronica
Remmy Ongala,I Want To Go Home,489.482,-17.958,197.038,0.177,468.294,0.423065328,0.273439511,soukous
The Last,Century City Rag,159.05914,-8.383,162.954,3.796,147.847,0.632784245,0.320059113,garage rock
Jimmy Riley,Life,232.25424,-13.05,85.746,0.972,219.678,0.477724733,0.299705214,roots reggae
House Of Lords,Rock Bottom,232.75057,-4.045,127.974,0.131,227.701,0.561976087,0.364776171,tech house
Fun Lovin' Criminals,Love Unlimited (Explicit),205.66159,-7.119,94.082,0.734,189.266,0.68320604,0.484876719,blues-rock
Helen O'Connell,The Sweetest Sounds,180.6624,-10.527,135.238,0,180.662,0.353135576,0.300743186,vocal jazz
Chaotica,Turbocharger,235.4673,-9.087,100.009,2.101,230.58,0.510937258,0.312127027,industrial rock
The Sun Harbor's Chorus-Documentary Recordings,America the Beautiful,206.91546,-20.696,83.15,2.142,192.424,0.419941275,0.24913723,patriotic
Placebo,Hardly Wait,180.13995,-4.422,121.354,2.606,175.514,0.804523521,0.586433379,british pop
DCS,Tu Hi Tu Sada,305.3971,-5.041,95.889,0,299.143,0.476808061,0.082292226,bhangra
Muse,Exogenesis: Symphony Part 1 [Overture],258.42893,-8.895,121.071,2.107,248.047,0.929030287,0.750426551,art rock
Kraftwerk,Computer Love (2009 Digital Remaster),399.33342,-9.219,127.984,0,386.078,0.74151813,0.52041211,electronic
Singing Melody,Someone To Hold,214.90893,-10.846,88.897,0.217,202.188,0.498414133,0.326008873,dancehall
FFH,Great Big Problem,264.07138,-5.202,162.002,0.334,245.354,0.601245988,0.461026521,ccm
Bill & Gloria Gaither,He Will Lead His Children Home,162.06322,-12.37,110.167,0,162.063,0.426882762,0.333303418,country gospel
Willie Clancy,Air: My Lagan Love,166.922,-11.477,106.542,1.077,160.421,0.346236811,0.284824356,disco
NOFX,My Heart Is Yearning,143.64689,-11.661,156.079,0.171,136.638,0.561131213,0.554291489,punk
Chris Clark,Tyre,71.99302,-28.475,97.845,0,61.597,0.597281478,0.39846996,motown
GWAR,Let's Blame The Lightman,189.57016,-3.492,169.237,0.496,189.57,0.687023631,0.475085634,comedy rock
Gran Coquivacoa,Son Sabroso,270.70649,-5.698,113.569,0.34,265.201,0.42137606,0.366527802,gaita
Sick Puppies,Master Of The Universe,212.92363,-5.429,209.739,0.27,203.395,0.782984211,0.675117719,post-grunge
Gary Nichols,Paper Doll,162.19383,-11.552,73.979,0.153,150.158,0.621597789,0.386470142,country blues
Andreas Dorau,Das Telefon sagt Du,231.10485,-10.201,124.976,0.171,225.93,0.501785968,0.382426584,tech house
Gabinete Caligari,Viaje Al Averno,169.69098,-4.199,122.22,0.23,162.226,0.490688788,0.326430853,pop rock
James Newton Howard,The Burp Heard 'Round The World,110.52363,-9.516,84.969,0,110.524,0.611381595,0.445321878,instrumental pop
Ray Charles,Let's Go,160.93995,-8.758,88.745,0.131,156.653,0.759912526,0.673207275,blues
Geggy Tah,Gina,165.40689,-12.987,147.508,6.751,156.723,0.518337026,0.335335108,post-grunge
Tom Barabas,Sedona Suite (Sunrise/Prayer/Joy/Sunset),743.36608,-16.389,134.491,0.425,724.677,0.448025346,0.393622172,meditation
Los Fabulosos Cadillacs,El Mensaje Soy Yo,171.10159,-6.176,115.737,0,167.729,0.774037142,0.521726648,ska
Loretta Lynn,I Can't Feel You Anymore,195.3171,-13.141,93.312,0.293,189.219,0.658731278,0.410541103,honky tonk
Joe Rogan,"Not Homophobic/The Word Is ""Cock"" (Spoken Word) (Album Version)",217.10322,-14.031,105.006,0,210.321,0.510993042,0.379222861,comedy
Mista,I'll Sweat You (LP Version),253.41342,-6.033,90.882,0.159,242.91,0.566747968,0.312220843,dubstep
Unearth,Fuel the Fire,222.27546,-6.338,160.783,0,222.275,0.772172543,0.487406995,post-hardcore
Bob Marley,Memphis,177.71057,-15.015,180.876,1.137,169.599,0.780264381,0.570106512,reggae
Brian Free & Assurance,Emmaus,243.80036,-12.347,101.913,0.357,230.905,0.416463908,0.374335195,southern gospel
Dream Warriors,Sound Clash,262.19057,-6.453,144.067,0.233,245.319,0.502389764,0.342652377,jazz rap
The In Crowd / Jah Stitch,Baby My Love,476.9171,-6.826,132.337,0.972,472.886,0.526690732,0.378478309,freakbeat
The Fray,Vienna,231.07873,-8.096,124.534,0.428,219.254,0.852699664,0.661349364,piano rock
Groucho Marx,Selling Jolson A Baseball Team,586.70975,-13.818,75.22,0.403,582.345,0.426512761,0.434621853,doo-wop
Alceu ValenASSa,Sete Desejos,205.87057,-9.813,144.162,0.168,196.487,0.544979448,0.366713432,brazilian pop music
Skeeter Davis,He Says The Same Things To Me,168.48934,-10.38,89.219,3.791,161.773,0.60383917,0.395791274,country rock
Tito Puente,Mambo Suavecito,178.46812,-13.805,179.587,0.583,170.44,0.722105298,0.480724781,salsa
Memphis La Blusera,Hoy Es Hoy,243.46077,-6.574,108.009,0.09,240.901,0.472247769,0.316724551,chicago blues
Crazy Horse,E se tu lontana sei,191.65995,-10.247,106.854,0.409,180.709,0.540279892,0.342192311,country rock
Skeeter Davis,Foggy Mountain Top,160.7571,-13.321,148.653,0.112,152.265,0.60383917,0.395791274,country rock
One Block Radius,All On Our Own,236.72118,-2.45,124.022,0,226.679,0.646851194,0.406092677,pop rap
Various Indian Tribes,Mountain By The Sea (Tribe Unknown),193.25342,-12.852,136.726,0.293,187.623,0.03550242,0.137659673,ethnic
Timo Maas,Bad Days,417.56689,-8.92,87.995,3.477,374.596,0.691973119,0.396619566,progressive house
Nana Caymmi,Nossa DanASSa,174.54975,-12.209,115.781,0.107,167.189,0.523633032,0.348350022,brazilian pop music
Anat Ben David,Moon Boom,213.7073,-8.913,100.042,0.078,206.158,0.500656728,0,tech house
Butthole Surfers,All Day,512.1824,-3.237,79.709,0.194,500.733,0.628489971,0.488019842,noise rock
Pepper,Stormtrooper (Live),108.93016,-5.356,148.712,0,108.93,0.765141418,0.471493227,reggae
Memphis La Blusera,La RevoluciA3n,261.642,-7.164,159.668,0.212,252.825,0.472247769,0.316724551,chicago blues
The Rolling Stones,Time Is On My Side,172.72118,-7.343,107.455,0.183,164.148,0.814829656,0.776037656,blues
Twila Paris,We Will Glorify (Key-B-Db-Premiere Performance Plus),201.32526,-10.012,135.989,0.252,182.288,0.559901438,0.401239122,ccm
Bob Carlisle,Man Of No Reputation,331.25832,-16.196,103.634,5.195,307.641,0.563583586,0.388527293,ccm
The Michael Stanley Band,Waste A Little Time On Me,232.12363,-15.161,103.731,0,227.846,0.44276965,0.294986617,heartland rock
